,users,ratings,shorts,times
89,萌发奇想,5,人的性格喜好变化可能真是会随着年龄有变化，多年以前无数次尝试过看教父都无法承受那种缓慢的腔调而没有坚持下来；多年以后重新想再见识这部经典尽然不出十分钟就被吸引了，接着就是马不停蹄丝毫不想暂停的175分钟。被后世太多电影人致敬百次的教父不亏为黑帮电影之里程碑式的经典之作！（160709）,2016-07-12
90,桃子,4,电影丧失了书章节间的节奏之美。感觉完全可以翻拍个“后现代版”。科波拉的镜头在意情节发展比较多，反映心理的几乎没有。Al Pacino在车里和餐馆被搜身的那两场，感觉有gay暗示。///看得特别心塞，不是因为故事，是因为Al在片子里的某些气质和某人太像，眼泪一直倒流着吞。,2014-10-07
91,元首特价大酬宾,5,当了这么多年IMDB三强是有理由的，黑骑士诺吹们想黑是黑不掉的，因为诺兰跟科波拉一比，属于还不会用摄影机。,2014-12-02
92,20个小明≯,4,第一次完完整整的看这部影史经典，果然好看的没话说！《柔声倾诉》的旋律一响，仿佛又回到了高中时代，那时候整天循环这些曲子……大学的时候LOTUS经常三部连播，从天亮到天黑，一播一整天就过去了……资料馆放映的版本不是特别好，内嵌字幕太浅总会看不清……,2017-04-19
93,杨迪,4,直接与人交谈很重要。,2012-08-25
94,谋杀游戏机,5,布尔乔亚叙事电影，依照导演心中认定的道德标准塑造观影者的角色认同,2010-02-05
95,气急败坏女疯子,5,我没有给5星，因为我不想随波逐流的评价一部电影。我以为，一部黑帮电影，把教父刻画成万民崇拜的对象，这样的价值观念，我或者始终是不能接受的。我始终不能接受为钱，为权力就去杀害与威胁对手的这种价值观。正是因为这样的价值观让越来越多的人去强迫自己去适应这弱肉强食的冷酷社会规则，为唯利是,2012-03-12
96,美美哒Cindy,5,黑帮电影中的经典,2017-02-24
97,天然呆,3,这种孤独的老男人果然不适合我,2017-03-17
98,creasy,1,知道这片为什么分高吗？就算不喜欢的也被吓的只敢打三星。2和3是坚决不会去看了，对这个题裁毫无兴趣,2010-10-23
99,桃子,4,电影丧失了书章节间的节奏之美。感觉完全可以翻拍个“后现代版”。科波拉的镜头在意情节发展比较多，反映心理的几乎没有。Al Pacino在车里和餐馆被搜身的那两场，感觉有gay暗示。///看得特别心塞，不是因为故事，是因为Al在片子里的某些气质和某人太像，眼泪一直倒流着吞。,2014-10-07
100,美美哒Cindy,5,黑帮电影中的经典,2017-02-24
101,初音奥特曼,5,9.9分，如果一个电影爱好者没看过《教父》，那他就是一个假的电影爱好者。虽然之前我看了一千多部电影，但现在才能算是真正意义上的电影爱好者。剧情平淡如水，想看刺激的人请绕道，《教父》的精华在于柯里昂的处世哲学，在于他的社交经验，这部电影值得人看一百遍来反复回味。这是一部可以学到对人生有裨益品质的电影。/在黑帮世界中，一切还是男人支手遮天，女人处于任人鱼肉的境地。,2020-01-19
102,Zeitgeist_,5,至今为止看了三遍教父1 今天才是真正的mindblown 每个角色小动作的刻画 开场婚礼大戏、医院救父、洗礼肃清的剪辑和镜头调度 老教父在葡萄园中含饴弄孙新老交替的传承时刻 以及结尾前后景妻子与michael的隔离 缓缓关上的那一扇门 远不止是四四方方的完美二字可以概括 这都是笔走龙蛇意气飞扬血脉贲张的神迹 是神迹啊！太年轻的时候真的不可以看教父 过去的几遍实在是暴殄天物,2012-04-08
103,李濛Lemon,5,小西天电影资料馆放映，看了三遍。节奏缓慢，结构完美，开头一场婚礼戏把所有人物的性格以及微妙的关系像一幅画卷一样徐徐展开，为后面的故事埋下了伏笔。每一场戏都精彩绝伦，不愧为经典。,2015-09-01
104,20个小明≯,4,第一次完完整整的看这部影史经典，果然好看的没话说！《柔声倾诉》的旋律一响，仿佛又回到了高中时代，那时候整天循环这些曲子……大学的时候LOTUS经常三部连播，从天亮到天黑，一播一整天就过去了……资料馆放映的版本不是特别好，内嵌字幕太浅总会看不清……,2017-04-19
105,杨迪,4,直接与人交谈很重要。,2012-08-25
106,铃儿响叮当,5,黑帮经典系列电影,2017-01-22
