,users,ratings,shorts,times
53,LORENZO 洛伦佐,5,赞爆了,2015-04-28
54,哪吒男,5,啊！不愧是[不散]的年度十佳啊！！,2016-01-19
55,大奇特(Grinch),4,撕逼故事会，怒从心头起，恶向胆边生。结果有时却是物极必反。《小炸弹》那部戏简直就是乔.舒马赫《城市英雄》的翻版，同样是戴着斯文眼镜的主角、失业、堵车、女儿生日和倒霉催的遭遇。,2015-03-19
56,九尾黑猫,3,三星半。厮杀的很嗨很过瘾，当一切都用暴力解决，世界真的更美好吗？表现手法很好，就是触不到问题的本质，所以离精彩还差一步。,2016-03-31
57,五色全味,4,這不比《天註定》好多了嗎？喜歡最後一個故事的處理，之前一系列故事的控訴反建制復仇便猶如婚禮現場鬧的超級大龍鳳，發洩過後還是要學會諒解和重新上路。電影中不時顯露的黑色幽默也使它在憤怒之餘不失一份寬容。,2015-04-17
58,你大豪爷,5,建议出成剧，名字叫《Avengers》,2015-04-24
59,nomad,2,港译其实很精准,2015-03-25
60,乌鸦火堂,5,超爽的短篇集，各有特色，魔性、野性，最喜欢第三个撞车故事，“殉情”的结尾没把我笑死，冲动成就有缘人,2018-05-28
61,老晃,4,最近看最好玩的电影是西班牙的《蛮荒故事》，前几个其实也没啥大意思，特像中国人办的操蛋事儿，关键压轴那场“婚礼大战”太精彩了，逆转逆转再逆转，撕逼都撕成那样了，还能一吻定乾坤，麻痹，也想参加这样奔放嗨屁的婚礼。。。,2015-03-10
62,耳田,3,你们就跟风吧,2015-03-09
63,幻覺大師,4,拍短片拍到一定水准可以尝试这样拍电影啊，除了餐厅的故事其余5段的剧情张力和黑色幽默感都非常足，个人最爱公路死斗一段，仿佛是致敬斯皮尔伯格《决斗》。此片比《低俗小说》不足，比《天注定》绰绰有余，特别是和后者一样都是在黑这黑那，但低级和高级的区别显而易见。,2015-03-03
64,SingLesinger,5,真赞。脑海里兽性的音量只被推大一点，却得来惊天动地的人性拉扯。期待导演以后全片只讲一个故事。,2015-05-27
65,请保持高冷,3,一般般，不是很喜欢独立章节的影片,2017-04-22
66,羚羊的灵魂,4,里面的行为有些可理解  有些无法理解  比较喜欢炸弹叔叔,2015-06-05
