,users,ratings,shorts,times
88,鸡窝男的剑鱼,2,原先没觉得狗血到无法接受，也没觉得整个就一出广告片，但现在都觉得了。剪辑混乱到脑子不够使。。和第二部差远了  双桥金逸,2014-07-17
89,煮蓝,4,看郭碧婷穿红裙子转圈圈就值得三颗星了好吗，希望她能遇到更好的导演，成为更美的花或者花瓶。撕逼略爽，看美貌的女孩子们撕逼更是爽中带着哀伤。大耳朵基佬每次说话都全场爆笑，我整个人陷入了一种“居然还有这种好事？！”的激爽mode（是的我就是吃这套）。郭敬明老师拍彩蛋的天赋一流，再加一星=v=,2014-07-23
90,路人Eita,1,幸好票是別人給的，剩下票錢看後會無期喝喝喝。另深刻感受到影院內入戲的少女們厲害就厲害在哪怕上一秒她們大概也被荒謬的劇情震驚，下一秒還是能立刻入戲灑淚抽泣，一如戲中一言不合就突然能大打出手的下一秒又能若無其事地和好一樣神奇。,2014-07-17
91,👹天神的审判,1,垃圾片，真的太影响三观了，难怪被点名批评！又拜金又撕逼严重带坏社会风气啊啊啊！,2018-05-26
92,小A,1,四娘真是个大作（zuō）家。泰西内说：我要让每个镜头都讲一个故事。四娘做到了，连每个分屏都在说自己的事，镜头之间完全没联系。法中两位同志导演在艺术追求上不谋而合，可喜可贺。四娘可以考虑接拍时装周MV。本来觉得郭碧婷挺美的，看完她的戏我觉得她整个人都不好了。,2014-07-24
93,Olivia,1,比前两部好一点，但还是很牵强，撕得莫名其妙，为冲突而冲突。,2016-10-07
94,徐若风,2,2.5  比前两部好，看完4再回头，3堪称系列最佳。乌托邦里上海风情画，打满鸡血般充斥着肤浅虚荣、做作浮华。问题也和以前差不多：杀马特歌曲MV大集合，镜头滥用、逻辑从缺、特写乱给。但在这些问题下，却看到了许多之前从未想到的东西，简言之就是更紧凑、直接的作者风格吧哈哈。,2014-07-17
95,江湖骗子,1,烂片之王3,2018-04-13
96,粥也也,5,"平心而论给后会无期三星 给小时代两星
但因为捧韩寒而黑小四的人太多 没逼格又标榜自己逼格高的脑残粉我看不惯 所以为了平衡一下我打五星
毕竟年少无知的时候 小四给过我青春
作家还是该好好写书 ",2014-07-31
97,未注销,1,不好看是因为演员演技不够出彩 入戏不了 平平无奇从头到尾一个表情真是秃头了,2018-05-27
98,emillyhom,1,依然三观不正系列,2018-05-03
99,wwwwww,1,好久没见到那么精致的烂片了。,2014-07-24
100,少数派的报告,4,为啥小时代被批的这么惨，我真的觉得蛮好看的噶,2017-05-27
101,左胸上的吸盘,1,毫无意外的继续烂，因为随手下载了，看了二十分钟就删了，这种片子的命，就是这样。另外郭敬明作为商人嗅觉不算迟钝，这系列片儿的风格基本是照着《阳光姐妹淘》这傻逼片子扒下来的,2014-09-21
102,吵,3,撕逼大戏，看到最后大家都哭了,2014-07-17
103,梁越,3,郭碧婷五分，电影一分，平均三分。,2014-07-20
104,古月,1,这部电影我是请同学去看的 因为她很喜欢 结果去电影院看了一场超mv 电影磨皮磨的太厉害了 浮夸 看完了也就是看完了 没什么特别的感觉。。。。。。,2016-11-02
105,ericartman,2,昨天看了小时代3 里边的男人们真不错 一点失望没有 全是惊喜 就是茶婊们的戏份太太太多 搞的我到最后半小时才分清谁是谁 谁跟谁- - 而且现场一股臭脚丫子味 影院真是良心√  最后 韩国小哥的秘密是啥啊我咋没懂?,2014-07-18
106,煮蓝,4,看郭碧婷穿红裙子转圈圈就值得三颗星了好吗，希望她能遇到更好的导演，成为更美的花或者花瓶。撕逼略爽，看美貌的女孩子们撕逼更是爽中带着哀伤。大耳朵基佬每次说话都全场爆笑，我整个人陷入了一种“居然还有这种好事？！”的激爽mode（是的我就是吃这套）。郭敬明老师拍彩蛋的天赋一流，再加一星=v=,2014-07-23
107,Ada🧣Wong💋💍,1,我们好好啊我们是时代姐妹花——我们好好啊我们是畅游罗马喇叭嗓大妈团——我们好可怜啊情郎去世了——我们好牛逼啊要去偷方案了——我们好牛逼啊偷到方案啦——撕逼——撕逼——分组撕逼——合体——结束。,2015-06-30
108,雨果,1,"冲着别人说它来看的，好多人看过的样子，刚看顺便打个分，果然不负狗血的名号，里面的都不是正常人吧……
我还是很佩服小四的，拍了这么多系列……",2016-11-19
109,王坏,4,哈哈哈哈我喜欢看撕逼戏,2014-07-18
110,啊芙芙,3,我不知道别人的理解是什么，女生之间的相处，就是像这样，像南湘是真的不愿意好朋友再为自己操心。女生间的相处，也真的就是，每个人都在为自己的小利益而隐瞒什么，但最总还是会因为其中一个巧合，把所有误会解开，然后还是曾经敞开心扉的朋友。其实我很想念大学里跟我一起的其他三位了。,2014-07-19
111,科林,1,老样子……为了撕逼而撕逼，全然不顾有无必要；技术层面依旧很棒，但这不是郭敬明的功劳；全片就像刚学会游泳在小学组拿了第一的小弟弟，趾高气昂地在索普、菲尔普斯面前有眼不识泰山地吹嘘自己游得多快~~~,2015-07-18
112,Macarena,1,耶,2014-07-16
113,LOOK,2,没前两集有意思，不少桥段太拖沓。小鬼当家式的乐趣丧失了不少。,2014-07-18
114,A-sun*,1,认识很多出身并不富裕的人，追求在大都市里平起平座的权利，有些人没忘出身，为人谦逊也依然带着平常心，但有些人野心勃勃，努力包装自己以达到完全摈弃过去，这种人往往就会用力过猛，广东话里有句“两脚黄泥味”就是这种人，追求外在浮华而忘了内在修养，这股泥味永远洗不去，郭先生就是这种人。,2014-10-17
115,littletwo,1,一部为撕而撕硬拗出来的幻灯片。郭导就像一个同时收获了功成名就与江郎才尽的艺术家，明明神经都已经坏死了，还非要强迫自己感受生活。在强迫别人打了自己几巴掌之后，高兴地捂着脸大喊：“我又能感觉到痛苦啦！这就是青春！”,2014-07-22
116,暴富的女孩是我,1,被室友强行安利看的一部电影，我只想说，还我票钱。,2017-02-28
117,夏奈,2,柯震东要不是吸毒吸傻了也不会接这种电影吧。,2014-08-22
118,有心打扰,1,烂到不知道说什么好了..,2014-07-15
119,TreasureCruise,1,郭敬明用他的电影和他的脸表达了他最深刻鸿达的思想：生而为亚洲人，我很抱歉。,2016-08-14
120,谢谢你们的鱼,5,年度吐槽神作，最后40分钟的撕逼大战精彩得我连眼都不敢眨。,2014-07-17
121,心生,1,目前三部的风格、水平都很统一，虽然是连续拍摄的片子，但三部影片毫无长进的趋势，真让人替导演着急。剧情依旧愚蠢做作，剪辑依旧硬伤，BUG依旧满天飞，槽点依旧无数，但也依旧不至于对它口诛笔伐。出于对大银幕的尊重，继续以电影的标准来评价它：1分。做作的撕逼，而不是伟大的友谊。1分,2014-07-19
122,天蝎小猪,1,看完这部名副其实的烂片之后，我深深地觉得，用烂片来打发时间是多么可耻的一件事，后悔不迭啊！而且它居然还有彩蛋，连彩蛋都烂得令人发指——好大一台吊扇啊！同时它还刷新了我的观影耐性！,2014-08-11
123,迦南Canaan,1,四部曲补遗，撕逼好过瘾，但最后结尾相亲相爱差评，Neil和顾准好评哦。现在我相信琛哥所说，郭碧婷真的好T......,2015-07-21
124,高冷之花白月初,2,郭敬明是不是有点问题，写书永远要把主角写死，不是自然死，就强行死，服气,2017-06-07
125,晚不安,2,之前唯一过关的叙事节奏荡然无存，第三部顺理成章升级为大灾难，重点段落妥妥的MV即视感。土豪游罗马，蹩脚的谍战，南湘扮性感，现已加入小时代豪华套餐。宫洺生日那晚真是满地狗血，蠢到扑街。导演无视地理位置，只顾展开剧情。看着四姐妹逼都快撕烂了，不禁感叹，男人都不理解的女人，郭敬明理解了。,2014-08-23
126,风间隼,2,假脸怪们再怎么扮欧洲贵族，一张口还是能喷出一股大葱味儿。,2015-02-21
127,Cora_李,4,再吐槽再黑郭敬明你都不得不承认他很牛~~他作品里小时代最喜欢~~看到唐宛如奋不顾身去救南湘哭的稀里哗啦……,2014-07-22
128,隔壁家的桃太太,2,可能是四部曲里面最好看的一部，因为有中间碟中谍偷文件戏。很赞同：郭敬明本身是对友情、爱情乃至亲情都没什么概念，他对友情的理解在电影里很简单，你抢了我男朋友，我搞了你工作，所以我们就要翻脸，而翻脸在十分钟里又会突然想通，朋友爱新鲜，友情大过天，想不想也日夜怀念，啊，所以又和好如初。,2016-02-25
129,猫汤,3,愿用我一生节操换小时代永不完结(´•̥̥̥ω•̥̥̥`),2014-07-17
130,二十二岛主,1,操，等于花钱看了个超长MV，末尾还告诉我请看下部。,2014-07-17
131,嘉树清圆,1,都是钱闹的。都变成穷人你们就消停了。,2016-11-12
132,沈十六,1,我应该是看过吧。这个MV。,2017-01-28
133,birds,1,郭敬明得臆想世界达到高度成熟，他用弱到不经风吹的所谓姐妹，继续恶心观众。,2014-07-25
134,Q。,2,姐妹撕逼三周目。★★,2014-09-07
135,悍客.罗,2,小四傲气的站在外滩，对着全世界说：整个上海滩的貂皮大衣我全包了！！！,2014-07-18
136,不瓜迪,2,额 我给两星因为我准备给后悔无期1星 就是这么讨厌韩寒,2014-07-22
137,Maria,1,一星妥妥的先打好。没看,2014-07-16
138,汐瑜,4,3是我觉得最好看的一部了。虽然本人并不喜欢撕逼什么的，而且也的确觉得撕得莫名其妙，不过，看颜还是不错的。,2016-07-03
139,🐈,2,后面几部我弃看是明智的选择,2017-04-05
140,肥树,3,人们能容忍一个叫好不叫座的艺术片，为什么不能容忍一个叫做不叫好的商业电影呢？,2014-07-18
141,郭连凯,1,382 你以为天上飘的是金粉，其实是屎渣。,2015-08-31
142,改名字,1,有一种神经叫看完四部小时代。,2017-07-04
143,见竹只为遇见,2,撕逼时代……演技，只能说陈学冬在和林萧相认的那场戏，看的人直犯尴尬症,2017-03-11
144,摇尾巴,3,看3的时候身边陪我看的那个人已经不是他了。说好一起看完小时代系列的我们也分开了,2014-12-11
145,sosovipp,2,前两部的狗血还可以忍忍，这一部真是狗血到让人吐血……,2015-07-29
146,Mintnotsmall,1,这一部彻底放飞了，只靠撕逼凑不到两个小时怎么办，那就先去罗马兜一圈，再去大张旗鼓偷个并没什么用的文件。这次片尾不仅有彩蛋了，还有贴片广告，甚至还有字幕让观众不要着急离场，因为最后的最后要为大家播放一段4的预告片。,2017-08-13
147,大点猫想吃鱼,5,真不好意思，小时代我看哭了好几回…呆呆地听完了吴亦凡翻唱的「时间煮雨」，还看完了下部预告…其实细想情节很脑残又简单粗暴，可我还是被打动得一塌糊涂〜从电影院出来我思考了很久为什么会这样，结论是我真的太无法抗拒演员的颜了…,2014-07-31
148,肖恩恩恩恩肖,4,顶着全场异性恋们异样的眼光，我终于一个人看完了彩蛋。凭良心讲，故事当然。。不提。。国产青春时尚片的服装，演员，镜头，光线，质感拍得这么好也算第一了。集体撕逼撕得那叫一精彩，每个人的表演都做作到我心坎里。这不是一部烂片，这是一剂春药。PS，我很同情那些陪女朋友来看的直男。,2014-07-17
149,Minta,2,撕比大战。四娘挑选演员的审美还是可以的，这一点必须肯定，另外就是再丑的人在四娘的镜头下感觉也好看很多？四娘电影的受众小初高真的很多,2014-07-23
150,路路,1,烂,2016-06-29
151,水浒三国金刚,1,顾准有点小帅,2014-08-12
152,Mamula,1,手贱没忍住，韩国人和美国人果然很好玩，花絮陈学冬大叫杨幂才是高潮啊～咦，这部电影讲了什么还有人物关系神马的我怎么会知道，我只是好奇心重然后喜欢综艺节目而已。。。高仿暮光转镜头那段简直要吐。。。杨幂！我知道你在这里！你给我出来！,2014-07-24
153,苏呜呜,1,真是有特别的导演技巧呢,2014-07-29
154,37°2,1,大幂幂怀孕期间肯定无法做微调和埋线以及打针，86年的脸就如此禁不住特写，眼尾纹让我不忍直视，女星们定期回炉改造是对自己事业和对观众的尊重。郭采洁真是美，从头到尾也就她顺眼点。,2014-09-27
155,Kreuzberg,2,喷了那个陈学冬化妆跟马里山一样，丑,2014-07-21
156,元气满满翰翰子,1,一颗星特么都嫌多,2014-07-17
157,影毒肥佬,3,"似唔應該係殿堂人物離開之時來睇呢部戲,睇完又覺唔失禮,高倉先生都拍很多商業作品.劇情狗血少少,但拍攝手法唔錯,鏡頭構圖音樂幾好,欠資深演員避過火演繹,導演要背鍋,熒幕同監視器睇到嘅係大銀幕會放大幾倍,演員無收住來做會很浮夸,情感失真,電影導演(電影!) 會請演員收一些-除非要所有人在手機睇.",2014-11-21
158,八神菁菁,1,金玉其外败絮其中,2014-07-17
159,LoVe,3,撕逼那段好看。有张力。结尾暗示第四部的悲剧吧。导演你喜欢花美男说英文，美女穿皮草呀。女主穿着蓬蓬裙和大衣看着好臃肿。你让女演员们修身段，踩高跟跑步，穿裙子在假雪里走很享受啊。,2014-09-23
160,西楼尘,2,依然是只需看看华丽的海报，故事当流水账看的电影。但其实不用太严苛的眼光来看，小四至少在故事上更加顺畅了，预告片里埋的噱头也一一有了交代，起承转合进步也还是很大的，不再像个刚刚接触电影的新人一样炫技搞摇臂长镜头，尴尬的冷场也有所减少，看得出郭导还是在努力的。我想会把这个系列看完的。,2015-05-25
161,Andy,1,这个片子给了很多人第一次近距离接触fendi的机会 我看电影的时候是这么想的 虽然真的很讨厌fendi的logo,2014-07-17
162,兔子和小霸王,3,一票男女穿金戴银的上演撕逼大战 然后矫揉造作的和好再撕再好 反正每部撕一次 而且非要大家互相以排列组合的形势 且同一天撕。比书还科幻 虽吐槽至此 四我还是要看的。,2015-02-08
163,Anti_Christ,1,简直太奇葩了 据说还有年轻人在电影院里哭 难道为自己的智商哭么,2017-01-03
164,Visages,1,能比前两部更烂也真是。。,2014-08-08
165,绿河,1,这可能是个超长mv,2017-02-14
166,七十三,1,一群神经病,2017-05-19
167,浔阳客梦,2,一直给小时代两星一颗是因为一些场景拍摄的确实很美，另一星因为配乐,2019-03-17
168,生人回避,2,把MV拍的像电影是高手，把电影拍的像MV是娇作。,2014-08-27
169,Eunice1993,3,柯震东被删了好多镜头就不是那么想看了啊哈哈哈哈哈哈,2017-05-16
170,连城易脆,1,小时代3的上映昭告着全国第三次脑残人口普查的开始！,2014-07-17
171,游萦,1,我想去有弹幕功能的电影院看小时代3,2015-05-18
172,顾惜朝一不小心,1,可怕,2014-07-22
